Tender_Proposal_ID,Source_File,App_ID,Invitation_Reference,Event_Type,Invitation_For,Ministry_Division,Organization_Agency,Procuring_Entity_Name,Procuring_Entity_Code,Procurement_Entity_District,PE_Address,PE_City,PE_Thana,PE_District,PE_Country,PE_Phone,PE_Fax,Authorised_Officer,Authorised_Officer_Designation,Procurement_Method,Procurement_Nature,Procurement_Type,Tender_Status,Evaluation_Type,Eligibility_of_Tenderer,Category,Budget_Type,Source_of_Fund,Development_Partner,Project_Code,Project_Name,Package_No,Tender_Title,Brief_Description_of_Works,Brief_Description_of_Contract,Lot_No,Lot_Identification,Lot_Location,Lot_Security_BDT,Contract_Value_BDT,Estimated_Cost,Document_Price_BDT,Document_Fees,Document_Available,Mode_of_Payment,Advertised_Date,Document_Last_Selling_Date,Pre_Tender_Meeting_Start,Pre_Tender_Meeting_End,Closing_Date,Tender_Opening_Date,Last_Security_Submission_Date,Security_Valid_Up_To,Tender_Valid_Up_To,Notification_of_Award_Date,Contract_Signing_Date,Proposed_Start_Date,Proposed_Completion_Date,Tentative_Start_Date,Tentative_Completion_Date,Contract_No,Performance_Security_Provided_On_Time,Contract_Signed_On_Time,Tenderer_ID,Supplier_Name,Beneficial_Owner,Ownership_Percentage,Owner_Country,Business_Address,Delivery_Location,Specific_Experience_Required,Max_Quantity_Variation,Liquidated_Damages_Rate,Tenders_Sold,Tenders_Received,Responsive_Tenders,Risk_Score,Risk_Level,Red_Flag,Red_Flag_Reason,Competition_Risk,Financial_Risk,Timeline_Risk,Ownership_Risk,Source_Files_Merged,Red_Flag_Count,Evidence,Rule_Reference,Full_Rule_Text,Rule_ID,Category,Finding,Severity,Review_Status,Investigative_Recommendation,Extracted_General_Experience,Extracted_Specific_Experience,Extracted_Turnover,Extracted_Liquid_Assets
395550,CDA_Tender_395550.pdf,158468,PD/MeStKo/E-57 Tender/Proposal Status : Re-Tendered,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin),Project Director(M.Uddin),Procuring Entity District : Chattogram,Chattogram,CDA Building Contact details of Official Inviting Tender/Proposal : Phone No : 031-624401,Chittagong Fax No : 031-614610,Kotowali,Chattogram,Bangladesh,031-624401,031-614610,,Project Director,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Re-Tendered,Lot wise,"1. The minimum number of years of general experience of the Tenderer in the construction works shall be 5 (Five) years. 2. The minimum specific experience in painting works of at least 1(One) contract(s) of Public ( Government, Semi Government & Autonomous) Building Construction successfully completed within the last 5 (Five) years in each with a value of at least Tk.10(Ten) Lacs. 3. The required average annual construction turnover shall be greater than Tk 10 (Ten) Lacs over the last 05 (Five) years. 4. The minimum amount of liquid assets i.e. working capital or credit line(s) of the Tenderer shall be Tk 5 (Five) Lac. 5. Tender Document containing insufficient/Â incomplete information will be rejected. 6. Furnishing of any false, Fake & forged document or information by a tender shall result in rejection of his tender and may lead to forfeiture of tender Secuirity and action againist tender under reguler of PPA 2008 7. If Quated Rate is found more thane 10 (Ten) % above or below Estimated cost, Tender will be Non-Respnsive",,Own Fund,Own Fund,,Not applicable Project Name : Not applicable,Not applicable,1),,Thai Partition and others Related works in Ground Floor of CDA Mehedibag Jame Mashjid at CDA Mehedibag Staff Quarter. Chattogram.,,,,,,,,20,Package wise,Package wise,Payment through Bank,,,,,,,,20-Apr-2020,23-Mar-2020,,,,,,,,,,,,,,,,,10,,,,,,0,LOW,NO,No significant issue detected,,,,,CDA_Tender_395550.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,5,10(Ten) Lacs,10 (Ten) Lacs,5 (Five) Lac
387658,Tender_387658.pdf,158468,Nipro/CDAHill/E-58 Tender/Proposal Status : Contract Awarded,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin),Project Director(M.Uddin),Procuring Entity District : Chattogram,Chattogram,CDA Building Contact details of Official Inviting Tender/Proposal : Phone No : 031-624401,Chittagong Fax No : 031-614610,Kotowali,Chattogram,Bangladesh,031-624401,031-614610,A. H. M. Mesbah Uddin,Project Director,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Contract Awarded,Lot wise,"1. The minimum number of years of general experience of the Tenderer in the construction works shall be 5 (Five) years. 2. The minimum specific experience in Similar works of at least 1(One) contract(s) of Public (Government, Semi Government & Autonomous) Building Construction successfully completed within the last 5 (Five) years in each with a value of at least Tk. 25 (Twenty Five) Lacs. 3. The required average annual construction turnover shall be greater than Tk 50 (Fifty) Lacs over the last 05 (Five) years. 4. The minimum amount of liquid assets i.e. working capital or credit line(s) of the Tenderer shall be Tk 15 (Fifteen) Lac. 5. Tender Document containing insufficient/Â incomplete information will be rejected. 6. Furnishing of any false, Fake & forged document or information by a tender shall result in rejection of his tender and may lead to forfeiture of tender Secuirity and action againist tender under reguler of PPA 2008 7. If Quated Rate is found more thane 10 (Ten) % above or below Estimated cost, Tender will be Non-Respnsive",,Own Fund,Own Fund,NA,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",Installation Of Water Treatment Plant with Shed and Other related Works at CDA Hill.,Installation Of Water Treatment Plant with Shed and Other related Works at CDA Hill.,,,,,,1018755.63,,20,Package wise,Package wise,Payment through Bank,2019-12-09 09:30,,,,,,,20-Apr-2020,23-Mar-2020,2020-01-21 00:00,2020-01-23 00:00,2020-01-15 00:00,2020-04-15 00:00,,,Nipro/CDAHill/E-58/127,,yes,,M/S. Nice Enterprise,,,,"758/C, Moidermill School Road, South Bakalia, Chittagong.",Cda hill Chattogram,25,,,3,3,1,60,HIGH,YES,Single Responsive Bidder | Beneficial Owner Missing,High,,,Medium,CDA_Tender_387658.pdf | Tender_387658.pdf |,2,No beneficial owner data disclosed. | Only 1 responsive tender submitted.,e-PG3A ITT 5.14 | e-PG3A ITT 50.6,A Tenderer shall provide its/their Beneficial Ownership related information. || All Tenders can be rejected if there is evidence of lack of effective competition.,,,,,,,5,25 (Twenty Five) Lacs,50 (Fifty) Lacs,15 (Fifteen) Lac
360423,Tender_360423.pdf,158468,PD/Office/E-55 Tender/Proposal Status : Contract Awarded,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin),Project Director(M.Uddin),Procuring Entity District : Chattogram,Chattogram,CDA Building Contact details of Official Inviting Tender/Proposal : Phone No : 031-624401,Chittagong Fax No : 031-614610,Kotowali,Chattogram,Bangladesh,031-624401,031-614610,A. H. M. Mesbah Uddin,Project Director,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Contract Awarded,Lot wise,"1. The minimum number of years of general experience of the Tenderer in the construction works shall be 5 (Five) years. 2. The minimum specific experience in Similar works of at least 1(One) contract(s) of Public (Government, Semi Government & Autonomous) Building Construction successfully completed within the last 5 (Five) years in each with a value of at least Tk. 25 (Twenty Five) Lacs. 3. The required average annual construction turnover shall be greater than Tk 50 (Fifty) Lacs over the last 05 (Five) years. 4. The minimum amount of liquid assets i.e. working capital or credit line(s) of the Tenderer shall be Tk 15 (Fifteen) Lac. 5. Tender Document containing insufficient/Â incomplete information will be rejected. 6. Furnishing of any false, Fake & forged document or information by a tender shall result in rejection of his tender and may lead to forfeiture of tender Secuirity and action againist tender under reguler of PPA 2008 7. If Quated Rate is found more thane 10 (Ten) % above or below Estimated cost, Tender will be Non-Respnsive",,Own Fund,Own Fund,NA,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",Renovation and Others Related Works of Electrical Sub-station and Rest House of CDA Building.,Renovation and Others Related Works of Electrical Sub-station and Rest House of CDA Building.,,,,,,3555766.8,,11,Package wise,Package wise,Payment through Bank,2019-09-30 10:00,,,,,,,11-Feb-2020,14-Jan-2020,2020-01-12 00:00,2020-01-23 00:00,2020-06-15 00:00,2020-08-16 00:00,,,PD/Office/E-55/214,,yes,,M/S. Gulzar Trading,,,,"Hazi Monsur Ali Road, Mia Khan Nagar, Chittagong.","CDA Building, Court Road Chattogram",25,,,5,4,1,60,HIGH,YES,Single Responsive Bidder | Beneficial Owner Missing,High,,,Medium,CDA_Tender_360423.pdf | Tender_360423.pdf |,2,No beneficial owner data disclosed. | Only 1 responsive tender submitted.,e-PG3A ITT 5.14 | e-PG3A ITT 50.6,A Tenderer shall provide its/their Beneficial Ownership related information. || All Tenders can be rejected if there is evidence of lack of effective competition.,,,,,,,5,25 (Twenty Five) Lacs,50 (Fifty) Lacs,15 (Fifteen) Lac
363990,CDA_Tender_363990.pdf,158468,PD/MeStKo/E-57 Tender/Proposal Status : Re-Tendered,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin),Project Director(M.Uddin),Procuring Entity District : Chattogram,Chattogram,CDA Building Contact details of Official Inviting Tender/Proposal : Phone No : 031-624401,Chittagong Fax No : 031-614610,Kotowali,Chattogram,Bangladesh,031-624401,031-614610,,Project Director,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Re-Tendered,Lot wise,"1. The minimum number of years of general experience of the Tenderer in the construction works shall be 5 (Five) years. 2. The minimum specific experience in painting works of at least 1(One) contract(s) of Public ( Government, Semi Government & Autonomous) Building Construction successfully completed within the last 5 (Five) years in each with a value of at least Tk. 10 (Ten) Lacs. 3. The required average annual construction turnover shall be greater than Tk 10 (Ten) Lacs over the last 05 (Five) years. 4. The minimum amount of liquid assets i.e. working capital or credit line(s) of the Tenderer shall be Tk 5 (Five) Lac. 5. Tender Document containing insufficient/Â incomplete information will be rejected. 6. Furnishing of any false, Fake & forged document or information by a tender shall result in rejection of his tender and may lead to forfeiture of tender Secuirity and action againist tender under reguler of PPA 2008 7. If Quated Rate is found more thane 10 (Ten) % above or below Estimated cost, Tender will be Non-Respnsive",,Own Fund,Own Fund,,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",,Thai Partition and others Related works in Ground Floor of CDA Mehedibag Jame Mashjid at CDA Mehedibag Staff Quarter. Chattogram.,,,,,,,,11,Package wise,Package wise,Payment through Bank,,,,,,,,11-Feb-2020,14-Jan-2020,,,,,,,,,,,,,,,,,10,,,,,,0,LOW,NO,No significant issue detected,,,,,CDA_Tender_363990.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,5,10 (Ten) Lacs,10 (Ten) Lacs,5 (Five) Lac
357570,CDA_Tender_357570.pdf,158468,PD/Me:St:Qut:/E-52,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin),Project Director(M.Uddin),Procuring Entity District : Chattogram,Chattogram,CDA Building Contact details of Official Inviting Tender/Proposal : Phone No : 031-624401,Chittagong Fax No : 031-614610,Kotowali,Chattogram,Bangladesh,031-624401,031-614610,,Project Director,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,,Lot wise,"1. The minimum number of years of general experience of the Tenderer in the construction works shall be 5 (Five) years. 2. The minimum specific experience in painting works of at least 1(One) contract(s) of Public ( Government, Semi Government & Autonomous) Building Construction successfully completed within the last 5 (Five) years in each with a value of at least Tk. 10 (Ten) Lacs. 3. The required average annual construction turnover shall be greater than Tk 10 (Ten) Lacs over the last 05 (Five) years. 4. The minimum amount of liquid assets i.e. working capital or credit line(s) of the Tenderer shall be Tk 5 (Five) Lac. 5. Tender Document containing insufficient/Â incomplete information will be rejected. 6. Furnishing of any false, Fake & forged document or information by a tender shall result in rejection of his tender and may lead to forfeiture of tender Secuirity and action againist tender under reguler of PPA 2008 7. If Quated Rate is found more thane 10 (Ten) % above or below Estimated cost, Tender will be Non-Respnsive",,Own Fund,Own Fund,,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",,Seal Coat and Others Related Work of CDA Staff Quarter Internal Road,,,,,,,,11,Package wise,Package wise,Payment through Bank,,,,,,,,11-Feb-2020,14-Jan-2020,,,,,,,,,,,,,,,,,10,,,,,,0,LOW,NO,No significant issue detected,,,,,CDA_Tender_357570.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,5,10 (Ten) Lacs,10 (Ten) Lacs,5 (Five) Lac
342502,Tender_342502.pdf,152932,PD/anyanna/Est/123 Tender/Proposal Status : Contract Awarded,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Project Director(Rajib Das),Project Director(Rajib Das),Procuring Entity District : Chattogram,Chattogram,"CDA Building, Kotowali Contact details of Official Inviting Tender/Proposal : Phone No : 031-624401",Chattogram,Kotowali,Chattogram,Bangladesh,031-624401,031-614610,Rajib Das,Executive Engineer,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Contract Awarded,Lot wise,"(a) The Contractor having minimum specific experience of successfully completion of similar nature (Construction of new road, Maintainance work of road) of work not less than value 5 (Five) Core in a single work order with in last year’s in any Government, Semi-Government Autonomous Body of Bangladesh over the last 5 (five) years. (b) The required average annual construction turnover shall be greater than Tk. 23(Twenty three) Core over the last 5 (five) years. (c) The minimum amount of Liquid Asset (free funds/cash flow) of the Tenderer shall be Tk. 3(Three) Core 50.00 (fifty ) Lac. d) The Contractor must have valid Trade license,Tin Certificate,VAT Certificate etc (d) Other qualification criteria are given in the Tender data sheet (TDS).",,Own Fund,Own Fund,NA,Not applicable Project Name : Not applicable,Not applicable,[state the components of the proposed works ; if not applicable state [state the components of the proposed works ; if not applicable state,Maintenance work of Oxyzen quaish Road,Maintenance work of Oxyzen quaish Road,,,,,,70658480.5,,20,Package wise,Package wise,Payment through Bank,2019-08-08 10:00,- 24/09/2019 at 16.30,,,,,- 24/09/2019 at 16.00,20-Jan-2020,23-Dec-2019,2019-12-05 00:00,2019-12-19 00:00,2019-03-10 00:00,2020-02-04 00:00,,,PD/anyanna/Est/123/281,,yes,,"S. Ananta - Abdus Salam (JV) ( JVCA Partners [Business Share]: M/S. Abdus Salam [49.000%] , S. Ananta Bikash Tripura",,,,"Milonpur, Khagrachari Sadar, Khagrachari.",Oxygen,,,,9,8,4,20,LOW,NO,Beneficial Owner Missing,,,,Medium,CDA_Tender_342502.pdf | Tender_342502.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,STAT_001,Financial,Extreme Contract Price Outlier,High,Needs Manual Review,Evaluate line-item pricing maps against historical reference curves.,,23(Twenty three),23(Twenty three),3(Three)
309557,Tender_309557.pdf,129714,PD/Banglow/E-51 Tender/Proposal Status : Contract Awarded,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin),Project Director(M.Uddin),Procuring Entity District : Chattogram,Chattogram,CDA Building Contact details of Official Inviting Tender/Proposal : Phone No : 031-624401,Chittagong Fax No : 031-614610,Kotowali,Chattogram,Bangladesh,031-624401,031-614610,A. H. M. Mesbah Uddin,Project Director,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Contract Awarded,Lot wise,"Eligibility of Tenderer : 1. The minimum number of years of general experience of the Tenderer in the construction works shall be 5 (Five) years. 2. The minimum specific experience in construction works of at least 1(One) contract(s) of Public ( Government, Semi Government & Autonomous) Building Construction successfully completed within the last 5 (Five) years in each with a value of at least Tk. 25 (Twenty Five) Lacs. 3. The required average annual construction turnover shall be greater than Tk 100 (One Hundred) Lacs over the last 05 (Five) years. 4. The minimum amount of liquid assets i.e. working capital or credit line(s) of the Tenderer shall be Tk 12 (Twelve) Lac. 5. Tender Document containing insufficient/Â incomplete information will be rejected. 6. Furnishing of any false, Fake & forged document or information by a tender shall result in rejection of his tender and may lead to forfeiture of tender Security and action against tender under regular of PPA 2008 7. If Quoted Rate is found more thane 10 (Ten) % above or below Estimated cost, Tender will be Non- Responsive",,Own Fund,Own Fund,NA,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",Maintenance and other related works of CDA hill Banglow No.-02,Maintenance and other related works of CDA hill Banglow No.-02.,,,,,,2990847.654,,3,Package wise,Package wise,Payment through Bank,2019-04-23 11:00,,,,,,,03-Sep-2019,06-Aug-2019,2019-07-01 00:00,2019-07-03 00:00,2019-05-15 00:00,2019-08-14 00:00,,,PD/Banglow/E-51/96,,yes,,M/S. Gulzar Trading,,,,"Hazi Monsur Ali Road, Mia Khan Nagar, Chittagong.",CDA Hiil,25,,,1,1,1,60,HIGH,YES,Single Responsive Bidder | Beneficial Owner Missing,High,,,Medium,CDA_Tender_309557.pdf | Tender_309557.pdf |,2,No beneficial owner data disclosed. | Only 1 responsive tender submitted.,e-PG3A ITT 5.14 | e-PG3A ITT 50.6,A Tenderer shall provide its/their Beneficial Ownership related information. || All Tenders can be rejected if there is evidence of lack of effective competition.,,,,,,,5,25 (Twenty Five) Lacs,100 (One Hundred) Lacs,12 (Twelve) Lac
303865,Tender_303865.pdf,151713,PD/Smrity24/est-1 Tender/Proposal Status : Contract Awarded,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Project Director(Mohammad Hasan),Project Director(Mohammad Hasan),Procuring Entity District : Chattogram,Chattogram,"CDA Building, Court Road , Contact details of Official Inviting Tender/Proposal : Phone No : 031-624402",Chottogram,Kotowali,Chattogram,Bangladesh,031-624402,031-614610,Mohammad Hasan,Project Director,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Contract Awarded,Lot wise,"Eligibility of Tenderer : 1. The minimum number of years of general experience of the Tenderer in the construction works shall be 5 (Five) years. 2. The minimum specific experience in RCC related works of at least 1(One) contract(s) of Public ( Government, Semi Government & Autonomous) Building Construction successfully completed within the last 5 (Five) years in atleast with a value of at least Tk. 25 (twenty five) Lacs. 3. The required average annual construction turnover shall be greater than Tk 100 (Hundred) Lacs over the last 05 (Five) years. 4. The minimum amount of liquid assets i.e. working capital or credit line(s) of the Tenderer shall be Tk 25 (twenty five) Lac. 5. Tender Document containing insufficient/Â incomplete information will be rejected. 6. Furnishing of any false, Fake & forged document or information by a tender shall result in rejection of his tender and may lead to forfeiture of tender Secuirity and action againist tender under reguler of PPA 2008 7. If Quated Rate is found more thane 10 (Ten) % above or below Estimated cost, Tender will be Non-Respnsive",,Own Fund,Own Fund,NA,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",RCC work Brick wall tiles terracota and related works,"RCC works, Brick wall tiles, terracota and related works",,,,,,4703277.861,,14,Package wise,Package wise,Payment through Bank,2019-04-04 18:45,,,,,,,14-Aug-2019,17-Jul-2019,2019-07-17 00:00,2019-08-07 00:00,2019-04-25 00:00,2019-05-26 00:00,,,pd/snirty24/02 date 17/07/2019,,yes,,M/S. Mohshin & Brothers,,,,"Kader Villa 1st Floor ,O R, Nizam Road Chittagong",Chittagong Court Buiding,25,,,2,2,2,20,LOW,NO,Beneficial Owner Missing,,,,Medium,CDA_Tender_303865.pdf | Tender_303865.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,,,,,,,5,25 (twenty five) Lacs,100 (Hundred) Lacs,25 (twenty five) Lac
287442,CDA_Tender_287442.pdf,129714,PD/officeB/E-48,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Project Director(M.Uddin),Project Director(M.Uddin),Procuring Entity District : Chattogram,Chattogram,CDA Building Contact details of Official Inviting Tender/Proposal : Phone No : 031-624401,Chittagong Fax No : 031-614610,Kotowali,Chattogram,Bangladesh,031-624401,031-614610,,Project Director,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,,Lot wise,"Eligibility of Tenderer : 1. The minimum number of years of general experience of the Tenderer in the construction works shall be 5 (Five) years. 2. The minimum specific experience in painting works of at least 1(One) contract(s) of Public ( Government, Semi Government & Autonomous) Building Construction successfully completed within the last 5 (Five) years in each with a value of at least Tk. 14 (Fourteen) Lacs. 3. The required average annual construction turnover shall be greater than Tk 50 (Fifty) Lacs over the last 05 (Five) years. 4. The minimum amount of liquid assets i.e. working capital or credit line(s) of the Tenderer shall be Tk 10 (ten) Lac. 5. Tender Document containing insufficient/Â incomplete information will be rejected. 6. Furnishing of any false, Fake & forged document or information by a tender shall result in rejection of his tender and may lead to forfeiture of tender Secuirity and action againist tender under reguler of PPA 2008 7. If Quated Rate is found more thane 10 (Ten) % above or below Estimated cost, Tender will be Non-Respnsive",,Own Fund,Own Fund,,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",,Construction of CC casting at Roof of office Building and Renovation work of 1st and 2nd Floor and Other Related Works.,,,,,,,,15,Package wise,Package wise,Payment through Bank,,,,,,,,15-Jul-2019,17-Jun-2019,,,,,,,,,,,,,,,,,14,,,,,,0,LOW,NO,No significant issue detected,,,,,CDA_Tender_287442.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,5,14 (Fourteen) Lacs,50 (Fifty) Lacs,10 (ten) Lac
281992,CDA_Tender_281992.pdf,151713,PD/Smrity24/est-1 Tender/Proposal Status : Re-Tendered,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Project Director(Mohammad Hasan),Project Director(Mohammad Hasan),Procuring Entity District : Chattogram,Chattogram,"CDA Building, Court Road , Contact details of Official Inviting Tender/Proposal : Phone No : 031-624402",Chottogram,Kotowali,Chattogram,Bangladesh,031-624402,031-614610,,Project Director,Open Tendering Method (OTM) Budget Type : Own Fund,Works Procurement Type : NCT,NCT,Re-Tendered,Lot wise,"Eligibility of Tenderer : 1. The minimum number of years of general experience of the Tenderer in the construction works shall be 5 (Five) years. 2. The minimum specific experience in RCC related works of at least 1(One) contract(s) of Public ( Government, Semi Government & Autonomous) Building Construction successfully completed within the last 5 (Five) years in each with a value of at least Tk. 25 (Twenty five) Lacs. 3. The required average annual construction turnover shall be greater than Tk 100 (Hundred) Lacs over the last 05 (Five) years. 4. The minimum amount of liquid assets i.e. working capital or credit line(s) of the Tenderer shall be Tk 25 (Twenty Five) Lac. 5. Tender Document containing insufficient/Â incomplete information will be rejected. 6. Furnishing of any false, Fake & forged document or information by a tender shall result in rejection of his tender and may lead to forfeiture of tender Secuirity and action againist tender under reguler of PPA 2008 7. If Quated Rate is found more thane 10 (Ten) % above or below Estimated cost, Tender will be Non-Respnsive",,Own Fund,Own Fund,,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",,RCC work Brick wall tiles terracota and related works,,,,,,,,18,Package wise,Package wise,Payment through Bank,,,,,,,,18-Jun-2019,21-May-2019,,,,,,,,,,,,,,,,,25,,,,,,0,LOW,NO,No significant issue detected,,,,,CDA_Tender_281992.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,,,,,,,5,25 (Twenty five) Lacs,100 (Hundred) Lacs,25 (Twenty Five) Lac
265155,CDA_Tender_265155.pdf,147020,PD/Elevated Expressway/Vehicle/E-01/14,TENDER Invitation for : Tender - Single Lot,Tender - Single Lot,Ministry of Housing and Public Works Division :,Chittagong Development Authority Procuring Entity Name : Project Director(Elevated ExpressWay),Project Director(Elevated ExpressWay),Procuring Entity District : Chattogram,Chattogram,"CDA Building, 3rd Floor Contact details of Official Inviting Tender/Proposal : Phone No : 031-632113",Chattogram Fax No : 031-614610,Kotowali,Chattogram,Bangladesh,031-632113,031-614610,,Executive Engineer,Open Tendering Method (OTM) Budget Type : Revenue,Goods Procurement Type : NCT,NCT,,Lot wise,"(a) The minimum of years of general experience of the Tenderer in the supply of Goods and related services as Supplier shall be 05 years. (b) The minimum specific experience as Supplier in supply of Double Cabin Pick-up turbo diesel with inter cooler Engine out Power:105-110 kw minimum at a speed not over 4000 rpm, Torque: 300 - 400 Nm minimum at 1600-2400 rpm, Ground clearance: 300 - 350 mm, The load carrying capability shall not be less than 900-950 kgs of at least 01 contracts successfully completed within the last 05 years, each with a value of at least Tk. 1,18,00,000/00 (One Crore Eighteen Lac). (c) The minimum amount of liquid assets i.e working capital or credit line of the Tenderer shall be Tk. 1,00,00,000/00 (One Crore). Brief Description of Goods and Related Supply of 02 (Two) nos double cabin pickup and 01 (one) no Motorcycle under the project of Construction of Elevated Expressway Service : from Lalkhan Bazar to Sha-Amanat Airport in Chittagong Town.",,Revenue,Government,,Not applicable Project Name : Not applicable,Not applicable,"Bank will update the payment transactions only at the end of the day, so the tenderers should make sure the securities and other payments are made at least",,,,,,,,,,5,Package wise,Package wise,Payment through Bank,,,,,,,,05-May-2019,07-Apr-2019,,,,,,,,,,,,,,,,,"1,18,00,000",,,,,,0,LOW,NO,No significant issue detected,,,,,CDA_Tender_265155.pdf |,1,No beneficial owner data disclosed.,e-PG3A ITT 5.14,A Tenderer shall provide its/their Beneficial Ownership related information.,ELG_005,Eligibility,Potential Artificial Contract Splitting,High,Possible Non-Compliance,Audit package definitions to see if scope was sliced to evade high approval levels.,05,"1,18,00,000",,"1,00,00,000"
